ID,Yoruba,English
ID_AAJEQLCz,A ṣètò Ìgbìmọ̀ Tó Ń Ṣètò Ìrànwọ́ Nígbà Àjálù láti wá bí àwọn ará wa níbẹ̀ ṣe máa rí àwọn nǹkan tí wọ́n máa nílò lọ́jọ́ iwájú.,A Disaster Relief Committee was formed to organize the long-term relief efforts.
ID_AASNedba,"Ìrọ̀lẹ́ May 22, 2018 ni wọ́n fàṣẹ ọba mú Arákùnrin Solovyev ní ibùdókọ̀ ojú irin nígbà tí òun àti Anna ìyàwó rẹ̀ ń bọ̀ láti ìrìn-àjò tí wọ́n lọ lórílẹ̀-èdè míì.","Brother Solovyev was arrested on the evening of May 22, 2018, at a railway station, as he was arriving home from a trip abroad with his wife, Anna."
ID_AAeQrhMq,Iléeṣẹ́ Creative Commons náà,Creative Commons the Organization
ID_AAxlMgPP,"Pè̩lú Egypt, Morocco àti Tunisia tí wó̩n ti lo̩lé, Senegal nìkan lorílè̩èdè adúláwò̩ kan tó kù, wo̩n á fe̩sè̩wo̩nsè̩ pè̩lú Colombia ni ìfe̩sè̩wo̩nsè̩ tó ké̩yìn ikò̩ H ló̩jó̩bò̩.","With Egypt, Morocco and Tunisia out of the World Cup, Senegal, the only African nation left,  will take on Columbia in their last group H game on Thursday."
ID_ABKuMKSx,"Adájọ́ àgbà lórílẹ̀ èdè Náíjíríà (Attorney General of the Federation), Justice Abubakar Malami ti pàsẹ fún ilé-isẹ́ ọ̀tẹlẹ̀múyẹ́ (Department of State Services, DSS) láti jáwọ́ lórí ẹ̀sun Omoyẹle Sowore ní kíákíá.","The Attorney General of the Federation, Justice Abubakar Malami has ordered the Department of State Services (DSS) to hands off the trial of Omoyele Sowore."
ID_ABOgDsPv,Ìpilẹ̀ ọrọ̀ọ́ lẹ́gbin.,The beginning of wealth is chock-full of filth.
ID_ABPBNrvn,"Ní tòótọ́, nígbà tí mo bá bẹ̀rẹ̀ sí sáré káàkiri tí mò ń sọ pé, “Hey, ọmọkùnrin àti ọmọbìnrin, onímọ̀ nípa ààrun ọkàn niyín ní orílẹ̀-ède US, ǹjẹ́ ẹ lè tẹ̀lé mi padà sílé ká lọ ṣe iṣẹ́ pátàkì kan?","In fact, when I start running around saying, ""Hey, boys and girls, you're cardiologists in the U.S, can you come home with me and do a mission?"
ID_ABRvCeJZ,"""Ní September 2, 2019, Ilé Ẹjọ́ Àgbègbè Zheleznodorozhniy ní ìlú Khabarovsk lórílẹ̀-èdè Rọ́ṣíà dájọ́ pé kí Arákùnrin Valeriy Moskalenko lọ ṣe iṣẹ́ àṣesìnlú fún ọdún méjì àti oṣù méjì.","""On September 2, 2019, the Zheleznodorozhniy District Court of Khabarovsk, Russia, sentenced Brother Valeriy Moskalenko to two years and two months of community service and another six months of probation."
ID_ABfNHLLl,Olóògùn ní ńṣe bí a-láigbọ́-mọ̀ràn; bí ogun ó bàá wọ̀lú ọlọgbọ́n là ńfọ̀rọ̀ lọ̀.,The medicine man behaves like a person impervious to wise counsel; if war threatens a town the person to consult for counsel is the sage.
ID_ABifvERa,"Wọ́n mú Anton Lemeshev tó jẹ́ alàgbà, wọ́n sì fi sí àtìmọ́lé fún oṣù méjì kí wọ́n tó gbọ́ ẹjọ́ rẹ̀.","Anton Lemeshev, an elder, was arrested and then sentenced to pretrial detention for two months."
ID_ACXnXIuR,Òtòṣì ò gbọ́ tìṣẹ́ ẹ̀ ó ní ogún kó àparò; ọdẹ́ rorò.,"The destitute person does not look to repairing his fortune; he says the partidge has been captured in a war, for the hunter is merciless."
